date,股票,isPartial
2024-09-05 08:00:00+08:00,34.44,False
2024-09-05 09:00:00+08:00,81.48,False
2024-09-05 10:00:00+08:00,59.64,False
2024-09-05 11:00:00+08:00,52.92,False
2024-09-05 12:00:00+08:00,57.96,False
2024-09-05 13:00:00+08:00,54.6,False
2024-09-05 14:00:00+08:00,34.44,False
2024-09-05 15:00:00+08:00,22.68,False
2024-09-05 16:00:00+08:00,21.84,False
2024-09-05 17:00:00+08:00,17.64,False
2024-09-05 18:00:00+08:00,26.04,False
2024-09-05 19:00:00+08:00,15.96,False
2024-09-05 20:00:00+08:00,16.8,False
2024-09-05 21:00:00+08:00,20.16,False
2024-09-05 22:00:00+08:00,19.32,False
2024-09-05 23:00:00+08:00,26.88,False
2024-09-06 00:00:00+08:00,16.8,False
2024-09-06 01:00:00+08:00,20.16,False
2024-09-06 02:00:00+08:00,21.84,False
2024-09-06 03:00:00+08:00,0.0,False
2024-09-06 04:00:00+08:00,0.0,False
2024-09-06 05:00:00+08:00,0.0,False
2024-09-06 06:00:00+08:00,26.88,False
2024-09-06 07:00:00+08:00,19.32,False
2024-09-06 08:00:00+08:00,25.2,False
2024-09-06 09:00:00+08:00,76.44,False
2024-09-06 10:00:00+08:00,61.32,False
2024-09-06 11:00:00+08:00,57.12,False
2024-09-06 12:00:00+08:00,49.56,False
2024-09-06 13:00:00+08:00,50.4,False
2024-09-06 14:00:00+08:00,31.92,False
2024-09-06 15:00:00+08:00,25.2,False
2024-09-06 16:00:00+08:00,23.52,False
2024-09-06 17:00:00+08:00,17.64,False
2024-09-06 18:00:00+08:00,15.96,False
2024-09-06 19:00:00+08:00,14.28,False
2024-09-06 20:00:00+08:00,21.0,False
2024-09-06 21:00:00+08:00,18.48,False
2024-09-06 22:00:00+08:00,20.16,False
2024-09-06 23:00:00+08:00,25.2,False
2024-09-07 00:00:00+08:00,30.24,False
2024-09-07 01:00:00+08:00,18.48,False
2024-09-07 02:00:00+08:00,0.0,False
2024-09-07 03:00:00+08:00,0.0,False
2024-09-07 04:00:00+08:00,0.0,False
2024-09-07 05:00:00+08:00,0.0,False
2024-09-07 06:00:00+08:00,0.0,False
2024-09-07 07:00:00+08:00,0.0,False
2024-09-07 08:00:00+08:00,19.32,False
2024-09-07 09:00:00+08:00,17.64,False
2024-09-07 10:00:00+08:00,15.12,False
2024-09-07 11:00:00+08:00,16.8,False
2024-09-07 12:00:00+08:00,13.44,False
2024-09-07 13:00:00+08:00,9.24,False
2024-09-07 14:00:00+08:00,0.0,False
2024-09-07 15:00:00+08:00,5.88,False
2024-09-07 16:00:00+08:00,15.12,False
2024-09-07 17:00:00+08:00,14.28,False
2024-09-07 18:00:00+08:00,12.6,False
2024-09-07 19:00:00+08:00,11.76,False
2024-09-07 20:00:00+08:00,10.92,False
2024-09-07 21:00:00+08:00,15.96,False
2024-09-07 22:00:00+08:00,13.44,False
2024-09-07 23:00:00+08:00,10.08,False
2024-09-08 00:00:00+08:00,0.0,False
2024-09-08 01:00:00+08:00,17.64,False
2024-09-08 02:00:00+08:00,17.64,False
2024-09-08 03:00:00+08:00,0.0,False
2024-09-08 04:00:00+08:00,0.0,False
2024-09-08 05:00:00+08:00,0.0,False
2024-09-08 06:00:00+08:00,0.0,False
2024-09-08 07:00:00+08:00,0.0,False
2024-09-08 08:00:00+08:00,16.8,False
2024-09-08 09:00:00+08:00,0.0,False
2024-09-08 10:00:00+08:00,15.96,False
2024-09-08 11:00:00+08:00,11.76,False
2024-09-08 12:00:00+08:00,10.08,False
2024-09-08 13:00:00+08:00,10.08,False
2024-09-08 14:00:00+08:00,11.76,False
2024-09-08 15:00:00+08:00,12.6,False
2024-09-08 16:00:00+08:00,10.08,False
2024-09-08 17:00:00+08:00,8.4,False
2024-09-08 18:00:00+08:00,11.76,False
2024-09-08 19:00:00+08:00,11.76,False
2024-09-08 20:00:00+08:00,10.08,False
2024-09-08 21:00:00+08:00,12.6,False
2024-09-08 22:00:00+08:00,11.76,False
